id,episode,aired,movie,year,missing,current_theme,slim,danny,proto,sum,wiki_url
441,310,2026-05-11,Lincoln,2012,rating,Daniel May Lewis,,,,,https://70mmwiki.com/movies/441
438,307,2026-04-20,12 Angry Men,1957,rating+theme,,,,,,https://70mmwiki.com/movies/438
437,306,2026-04-13,Kingdom of Heaven,2005,theme,,2,4,3,9,https://70mmwiki.com/movies/437
425,304,2026-03-30,Falling Down,1993,theme,,3,3,2,8,https://70mmwiki.com/movies/425
423,302,2026-03-16,Star Wars: The Rise of Skywalker,,rating,70mm Goes Back to Jakku,,,,,https://70mmwiki.com/movies/423
422,301,2026-03-09,Star Wars: The Last Jedi,,rating,70mm Goes Back to Jakku,,,,,https://70mmwiki.com/movies/422
420,299,2026-02-23,Sinners,,rating,Black History Month,,,,,https://70mmwiki.com/movies/420
419,298,2026-02-16,Boyz n the Hood,,rating,Black History Month,,,,,https://70mmwiki.com/movies/419
418,297,2026-02-09,Black Dynamite,,rating,Black History Month,,,,,https://70mmwiki.com/movies/418
417,296,2026-02-02,Black Panther,,rating,Black History Month,,,,,https://70mmwiki.com/movies/417
416,295,2026-01-26,Bicycle Thieves,,rating,70mm goes International,,,,,https://70mmwiki.com/movies/416
415,294,2026-01-19,Once Upon a Time in the West,,rating,70mm goes International,,,,,https://70mmwiki.com/movies/415
414,293,2026-01-12,Cure,,rating,70mm goes International,,,,,https://70mmwiki.com/movies/414
413,292,2026-01-05,The Umbrellas of Cherbourg,,rating,70mm goes International,,,,,https://70mmwiki.com/movies/413
407,291,2025-11-24,Wicked,,rating+theme,,,,,,https://70mmwiki.com/movies/407
408,291,2025-11-24,Wicked: For Good,,rating+theme,,,,,,https://70mmwiki.com/movies/408
401,289,2025-11-10,Citizen Kane,,rating,Winvember,,,,,https://70mmwiki.com/movies/401
400,288,2025-11-03,Ferris Bueller's Day Off,,rating,Winvember,,,,,https://70mmwiki.com/movies/400
396,285,2025-10-13,Near Dark,1987,rating,Bigelowber,3,2,,,https://70mmwiki.com/movies/396
393,283,2025-09-29,Fatal Attraction,1987,rating+theme,,4,4.5,,,https://70mmwiki.com/movies/393
387,279,2025-09-01,Altered States,1980,rating,Lo-fi Sci-fi Part 2,,,,,https://70mmwiki.com/movies/387
385,277,2025-08-17,Re-Animator,1985,rating,Hogust,,3,2,,https://70mmwiki.com/movies/385
384,276,2025-08-10,Boogie Nights,1997,rating,Hogust,,,,,https://70mmwiki.com/movies/384
383,275,2025-08-03,To Live and Die in L.A.,1985,rating,Hogust,,5,5,,https://70mmwiki.com/movies/383
380,274,2025-07-28,Gattaca,1997,rating,Blockbusted Vol. 3,,,,,https://70mmwiki.com/movies/380
379,273,2025-07-21,Superman,2025,rating,Mount Goatmore,,,,,https://70mmwiki.com/movies/379
377,271,2025-07-07,The Postman,1997,rating,Blockbusted Vol. 3,,,,,https://70mmwiki.com/movies/377
381,270,2025-06-30,Basic Instinct,1992,theme,,4,3,4,11,https://70mmwiki.com/movies/381
376,269,2025-06-23,A.I. Artificial Intelligence,2001,rating,Mount Goatmore,,,,,https://70mmwiki.com/movies/376
373,268,2025-06-16,The Life and Death of Colonel Blimp,1943,rating,Mount Goatmore,,,,,https://70mmwiki.com/movies/373
369,265,2025-05-26,Mission: Impossible – The Final Reckoning,2025,rating,Mayssion Impossible,,,,,https://70mmwiki.com/movies/369
368,264,2025-05-19,Mission: Impossible – Fallout,2018,rating,Mayssion Impossible,,,,,https://70mmwiki.com/movies/368
367,263,2025-05-12,Mission: Impossible II,2000,rating,Mayssion Impossible,,,,,https://70mmwiki.com/movies/367
363,260,2025-04-21,Tampopo,1985,rating,Tape Deck,,,,,https://70mmwiki.com/movies/363
365,,2025-04-09,Okja,2017,episode_number+theme,,4,4,3,11,https://70mmwiki.com/movies/365
358,256,2025-03-17,The Player,1992,rating,BDSM,,5,5,,https://70mmwiki.com/movies/358
351,251,2025-02-10,A League of Their Own,1992,rating,Fembruary,,,,,https://70mmwiki.com/movies/351
345,246,2025-01-06,Magnolia,1999,rating,Village Top 100,,3,4,,https://70mmwiki.com/movies/345
338,244,2024-11-18,Gladiator,2000,rating,Newvember,,4,4,,https://70mmwiki.com/movies/338
335,242,2024-10-28,Young Frankenstein,1974,rating,Monster Tober,4,5,,,https://70mmwiki.com/movies/335
329,,2024-09-24,Megalopolis,2024,episode_number+rating+theme,,,,,,https://70mmwiki.com/movies/329
321,233,2024-08-26,Children of Men,2006,theme,??,5,4,3,12,https://70mmwiki.com/movies/321
320,232,2024-08-19,Minority Report,2002,theme,??,5,5,4,14,https://70mmwiki.com/movies/320
319,231,2024-08-12,Training Day,2001,theme,??,4,4,4,12,https://70mmwiki.com/movies/319
318,230,2024-08-05,Gone in Sixty Seconds,2000,theme,??,4,5,3,12,https://70mmwiki.com/movies/318
316,229,2024-07-29,Carol,2015,rating,LEADING LADIES V4,4.5,,,,https://70mmwiki.com/movies/316
315,228,2024-07-22,Serial Mom,1994,rating,LEADING LADIES V4,4,,3,,https://70mmwiki.com/movies/315
314,227,2024-07-15,The Wizard of Oz,1939,rating,LEADING LADIES V4,,,5,,https://70mmwiki.com/movies/314
317,,2024-07-12,Willy Wonka and the Chocolate Factory,1971,episode_number+theme,,2.5,4,3,9.5,https://70mmwiki.com/movies/317
312,225,2024-07-01,Pearl,2022,theme,,4,3,3,10,https://70mmwiki.com/movies/312
309,223,2024-06-13,Godzilla Minus One,2023,rating,BLOCKBUSTED,,,,,https://70mmwiki.com/movies/309
306,,2024-05-24,Encino Man,1992,episode_number+theme,,3,3,2,8,https://70mmwiki.com/movies/306
302,218,2024-05-12,Planet of the Apes,2001,theme,,3,1,2,6,https://70mmwiki.com/movies/302
301,217,2024-05-06,Planet of the Apes,1968,theme,,3.5,4,3,10.5,https://70mmwiki.com/movies/301
297,215,2024-04-22,Batman,1966,theme,,4,5,3,12,https://70mmwiki.com/movies/297
290,208,2024-03-04,Dune: Part Two,2024,theme,,4.5,3,5,12.5,https://70mmwiki.com/movies/290
288,207,2024-02-26,Logan,2017,rating,Faves Round 2,,,,,https://70mmwiki.com/movies/288
285,205,2024-02-12,Casino Royale,2006,rating,Faves Round 2,,,,,https://70mmwiki.com/movies/285
280,203,2024-01-29,Ex Machina,2015,rating,LB 1M Watched Club,,,,,https://70mmwiki.com/movies/280
272,199,2023-12-04,Napoleon,2023,theme,,2,2.5,3,7.5,https://70mmwiki.com/movies/272
268,196,2023-11-13,Priscilla,2023,rating,Newvember,,4.5,4,,https://70mmwiki.com/movies/268
